user_id,recommended_items,real_items,hit
6,"[942176, 479683, 993415, 184210, 819252, 102456, 1010782, 279608, 698557, 102110]","[928874, 1031318, 478398, 802604, 813622, 499891, 96611, 619735, 854985, 785020, 85288, 661961, 219943, 183724, 837210, 348105, 1106155, 672858, 58278, 559647, 845829, 388354, 740114, 345287, 1066261]",0
16,"[894594, 757572, 939836, 857980, 438281, 655631, 797652, 754740, 819252, 939036]","[1077110, 793823, 64543, 962763]",0
19,"[662466, 557220, 7397, 142310, 245031, 827496, 836750, 501077, 910005, 45271]","[88673, 579711, 1020451, 38293, 463747, 181387, 114544, 11213, 491314, 944554, 388018, 753017, 284699]",0
37,"[942176, 415360, 894594, 778756, 1019973, 35983, 850262, 102456, 785403, 857980]","[529088, 124139, 567637, 710872, 483945, 33626]",0
38,"[814052, 300262, 1036204, 786420, 754740, 600279, 456568, 279608, 698557, 488223]","[952804, 381730, 528740, 812736, 801049, 247427, 509700, 283298, 852307, 820504, 532020, 1061183, 783289, 955689, 318939, 195576, 933644, 64624, 22766, 274588, 483862, 784740, 731033, 779117, 194963, 880069, 701836, 753704, 361310, 314408, 985837, 514796, 262433]",0
44,"[840770, 1060482, 757572, 438281, 1036204, 184210, 600279, 1023705, 1094298, 737631]","[603167, 498570, 322773, 857658, 566729, 62609, 833762, 252496, 873898, 528688, 25955, 319974, 269508, 441588, 21773, 24026, 1041507, 831531, 471579, 959887, 241183, 950558, 813053, 1075637, 73300, 598490, 612828, 444126, 378892, 1070125, 1076460, 549713, 239715]",0
46,"[1019973, 819078, 1036204, 35983, 797652, 750742, 279608, 1094298, 857980, 916382]","[357701, 465834, 169996, 256747, 877067, 7876, 224186, 517683, 854669, 539115, 430977, 717976]",0
51,"[1060482, 479683, 814052, 737631, 530705, 221362, 754740, 456568, 857980, 488223]","[115885, 767680, 186392, 421232, 292730, 740683, 432289]",0
52,"[13376, 149056, 528355, 368234, 685098, 763312, 958323, 715701, 840345, 500188]","[917391, 1044056, 505938, 1059899, 270566, 595149, 76219, 335884, 39008, 929711, 667588, 328518, 316018, 883376, 956048, 386227, 314739, 6432, 759459, 437419, 1104692, 949255, 11400, 961948, 578701, 842365, 460954, 652217, 310384, 727941, 402146, 375313, 1087242, 24026, 478121, 406555, 139680, 556561, 350950, 855002, 489523, 81550, 33055, 858301, 359089, 993617, 358987, 681603, 600830, 792495, 721361, 270502, 1064521, 1105363, 424175, 470454, 495278, 1102505, 164489, 654971, 60492, 132654, 7471, 534155, 389456, 223467, 974875, 152615, 1040694, 968935, 820146]",0
57,"[778756, 757572, 819078, 857980, 655631, 819252, 786420, 102456, 939036, 488223]","[666376, 629989, 107312, 8201, 208016, 338349, 695102, 446004, 425327, 272701, 154253, 230580, 833906, 869117, 553299, 615667, 854805]",0
60,"[942176, 894594, 721891, 840770, 184210, 221362, 456568, 750742, 205464, 1094298]","[690552, 1084682, 833976, 776832]",0
65,"[8133, 23654, 1039111, 655631, 221362, 786420, 456568, 102456, 698557, 737631]","[606018, 773617, 776920]",0
69,"[819078, 1039111, 438281, 819252, 456568, 850262, 600279, 102456, 1005751, 1010782]","[900166, 969467, 56680, 324030, 135, 74547]",0
75,"[662466, 528355, 557220, 338853, 408840, 242685, 67285, 459513, 476157, 913151]","[33313, 622508, 276700, 810251, 1039579, 845829]",0
94,"[721891, 1019973, 300262, 1039111, 600279, 279608, 1023705, 339547, 785403, 737631]","[308069, 322344, 92730, 875785, 585326, 791063, 946682, 1084252, 996941, 1018790, 489436, 57699, 412138, 98199, 933676, 493549, 393245, 745326, 595458, 648755, 18264, 1105749, 20710, 980011, 181158, 572860]",0
127,"[942176, 655631, 176623, 456568, 1005751, 1082968, 1094298, 339547, 857980, 698557]",[612219],0
133,"[894594, 814052, 8133, 23654, 819078, 1039111, 754740, 1005751, 456568, 339547]","[330237, 526229, 357199, 402698]",0
139,"[721891, 778756, 479683, 819078, 655631, 797652, 1005751, 1082968, 698557, 737631]","[304063, 691635, 273288, 1080533, 714831, 258612, 942602, 138698, 498779, 408910, 12054, 689338, 485484, 31624, 974643, 944554, 24851]",0
147,"[1060482, 894594, 176623, 456568, 672150, 600279, 279608, 1094298, 785403, 1010782]","[70006, 235329, 807429, 594601, 273863, 849729, 913350]",0
149,"[479683, 757572, 721891, 778756, 1039111, 1036204, 221362, 785403, 1010782, 488223]",[662082],0
